2025-08-23 12:15:12 | INFO     | TutorialDemo | main:195 | 🚀 日志演示程序启动
2025-08-23 12:15:12 | INFO     | TutorialDemo | main:196 | 📁 日志文件: tutorial_demo_20250823-121512.log
2025-08-23 12:15:12 | INFO     | TutorialDemo | demonstrate_log_levels:64 | ==================================================
2025-08-23 12:15:12 | INFO     | TutorialDemo | demonstrate_log_levels:65 | 开始演示不同的日志级别
2025-08-23 12:15:12 | INFO     | TutorialDemo | demonstrate_log_levels:66 | ==================================================
2025-08-23 12:15:12 | DEBUG    | TutorialDemo | demonstrate_log_levels:69 | 🔍 这是 DEBUG 级别：详细的调试信息，通常用于开发阶段
2025-08-23 12:15:12 | INFO     | TutorialDemo | demonstrate_log_levels:72 | ℹ️ 这是 INFO 级别：程序正常运行的信息
2025-08-23 12:15:12 | WARNING  | TutorialDemo | demonstrate_log_levels:75 | ⚠️ 这是 WARNING 级别：可能出现问题的警告
2025-08-23 12:15:12 | ERROR    | TutorialDemo | demonstrate_log_levels:78 | ❌ 这是 ERROR 级别：程序出现错误但仍可继续运行
2025-08-23 12:15:12 | CRITICAL | TutorialDemo | demonstrate_log_levels:81 | 🚨 这是 CRITICAL 级别：严重错误，程序可能无法继续运行
2025-08-23 12:15:12 | INFO     | TutorialDemo | demonstrate_practical_examples:88 | ==================================================
2025-08-23 12:15:12 | INFO     | TutorialDemo | demonstrate_practical_examples:89 | 演示实际应用场景
2025-08-23 12:15:12 | INFO     | TutorialDemo | demonstrate_practical_examples:90 | ==================================================
2025-08-23 12:15:12 | INFO     | TutorialDemo | demonstrate_practical_examples:94 | 用户尝试登录: 张三
2025-08-23 12:15:12 | INFO     | TutorialDemo | demonstrate_practical_examples:99 | 用户 张三 登录成功
2025-08-23 12:15:12 | DEBUG    | TutorialDemo | demonstrate_practical_examples:104 | 准备连接数据库
2025-08-23 12:15:12 | INFO     | TutorialDemo | demonstrate_practical_examples:111 | 数据库连接成功
2025-08-23 12:15:12 | DEBUG    | TutorialDemo | demonstrate_practical_examples:112 | 执行查询：SELECT * FROM users
2025-08-23 12:15:12 | INFO     | TutorialDemo | demonstrate_practical_examples:116 | 查询完成，找到 150 个用户
2025-08-23 12:15:12 | DEBUG    | TutorialDemo | demonstrate_practical_examples:125 | 尝试读取文件: important_data.txt
2025-08-23 12:15:12 | WARNING  | TutorialDemo | demonstrate_practical_examples:136 | 文件 important_data.txt 不存在，将创建默认文件
2025-08-23 12:15:12 | INFO     | TutorialDemo | demonstrate_practical_examples:137 | 已创建默认文件: important_data.txt
2025-08-23 12:15:12 | DEBUG    | TutorialDemo | demonstrate_practical_examples:142 | 开始执行耗时操作
2025-08-23 12:15:13 | WARNING  | TutorialDemo | demonstrate_practical_examples:152 | 操作耗时较长: 0.105 秒
2025-08-23 12:15:13 | INFO     | TutorialDemo | main:208 | ✅ 日志演示程序结束
